start_node,rep,day_idx,variant,reward,valid,delta_vs_baseline
31,1,16,vc=0.5,5179.0,True,561.0
31,1,16,vc=1.0,5831.0,True,1213.0
31,2,3,baseline,5758.0,True,0.0
31,2,3,vc=0.25,5758.0,True,0.0
31,2,3,vc=0.5,5758.0,True,0.0
31,2,3,vc=1.0,5758.0,True,0.0
32,0,12,baseline,4596.0,True,0.0
32,0,12,vc=0.25,4596.0,True,0.0
32,0,12,vc=0.5,4474.0,True,-122.0
32,0,12,vc=1.0,5057.0,True,461.0
32,1,27,baseline,4304.0,True,0.0
32,1,27,vc=0.25,4998.0,True,694.0
32,1,27,vc=0.5,4998.0,True,694.0
32,1,27,vc=1.0,4998.0,True,694.0
32,2,19,baseline,4717.0,True,0.0
32,2,19,vc=0.25,4717.0,True,0.0
32,2,19,vc=0.5,4717.0,True,0.0
32,2,19,vc=1.0,5069.0,True,352.0
33,0,5,baseline,2845.0,True,0.0
33,0,5,vc=0.25,2845.0,True,0.0
33,0,5,vc=0.5,2845.0,True,0.0
33,0,5,vc=1.0,2845.0,True,0.0
33,1,22,baseline,3957.0,True,0.0
33,1,22,vc=0.25,3957.0,True,0.0
33,1,22,vc=0.5,3957.0,True,0.0
33,1,22,vc=1.0,3957.0,True,0.0
33,2,9,baseline,4348.0,True,0.0
33,2,9,vc=0.25,4348.0,True,0.0
33,2,9,vc=0.5,4348.0,True,0.0
33,2,9,vc=1.0,4348.0,True,0.0
34,0,2,baseline,4188.0,True,0.0
34,0,2,vc=0.25,5192.0,True,1004.0
34,0,2,vc=0.5,6039.0,True,1851.0
34,0,2,vc=1.0,6039.0,True,1851.0
34,1,28,baseline,4647.0,True,0.0
34,1,28,vc=0.25,5225.0,True,578.0
34,1,28,vc=0.5,5505.0,True,858.0
34,1,28,vc=1.0,5505.0,True,858.0
34,2,23,baseline,5489.0,True,0.0
34,2,23,vc=0.25,5565.0,True,76.0
34,2,23,vc=0.5,5565.0,True,76.0
34,2,23,vc=1.0,5565.0,True,76.0
